FormalConjectures/Paper/KotzigConjecture.lean	52	1	kotzig_conjecture	For any tree $T$ with $n$ edges, the complete graph $K_{2n+1}$ decomposes into
FormalConjectures/Paper/Dubner.lean	66	1	IsTwinPrime,t1,t2,t3	A twin prime is a prime number that has a prime gap of 2, meaning either p - 2 or p + 2
FormalConjectures/Paper/LatinTableau.lean	45	1	LatinTableauConjecture	The Latin Tableau Conjecture: If G is the simple graph
FormalConjectures/Paper/RingelConjecture.lean	50	1	ringel_conjecture	For any tree $T$ with $n$ edges, the complete graph $K_{2n+1}$ decomposes into
FormalConjectures/Paper/CardinalityLindelof.lean	46	1	HasG	Is there a Lindelöf space with singletons as Gδ sets with cardinality greater than the continuum?
FormalConjectures/Paper/FusibleNumber.lean	76	1	isFusible_one_half,isFusible_one,conj_7_1	A rational number is fusible if it belongs to the smallest set containing $0$ and closed under
FormalConjectures/Paper/Chvatal.lean	49	1	Decreasing,Intersecting,exists_maximal_star	A family F of sets is Decreasing if it is closed under taking subsets.
FormalConjectures/Paper/PrimeTuples.lean	38	1	prime_tuples_conjecture	For any `k ≥ 2`, let `a₁,...,aₖ` and `b₁,...,bₖ` be integers with `aᵢ > 0`. Suppose that for
FormalConjectures/OEIS/115257.lean	71	1	a,a_0,a_1,a_2	The primary defining sequence `a`.
FormalConjectures/OEIS/113213.lean	63	1	a,a_1,a_2,a_3	a n is the smallest number m such that $2^n - m$ and $2^n + m$ are primes.
FormalConjectures/OEIS/114831.lean	78	1	a,a_1,a_2,a_3	The primary defining sequence `a`.
FormalConjectures/OEIS/109845.lean	69	1	a,a_0,a_1,a_2	$a(1) = 2$; $a(2n)$ = lcm of all previous terms + 1; $a(2n+1)$ = lcm of all previous terms - 1.
FormalConjectures/OEIS/109074.lean	79	1	frac,a,a_0,a_1	The rational number defined by $\binom{6n-2}{2n} / \left(2 \binom{4n-1}{2n}\right)$,
FormalConjectures/OEIS/67720.lean	78	1	A,a_1,a_2,a_4	A number $k$ is in the sequence A067720 if $\varphi(k^2 + 1) = k \cdot \varphi(k + 1)$.
FormalConjectures/OEIS/113258.lean	58	2	a,a_1,a_2,a_3	The primary defining sequence `a`.
FormalConjectures/OEIS/110566.lean	66	1	a,a_1,a_2,a_3	The primary defining sequence `a`.
FormalConjectures/OEIS/103425.lean	72	2	a,a_0,a_1,a_2	The primary defining sequence `a`.
FormalConjectures/OEIS/239957.lean	49	1	A,a_2,conjecture	The predicate that $p$ has a primitive root $0 < g < p$ of the form $k^2 + 1$, where $k$ is an integer.
FormalConjectures/OEIS/81091.lean	65	2	isPrimeBitsSet,A,a_7,a_11	Primes with $m$ one bits in their binary representation.
FormalConjectures/OEIS/103151.lean	69	1	a,a_1,a_2,a_3	The primary defining sequence `a`.
FormalConjectures/OEIS/287616.lean	68	1	A,a_0,a_1,a_2	The predicate that `n` can be written as $x(x+1)/2 + y(3y+1)/2 + z(5z+1)/2$ for
FormalConjectures/OEIS/111291.lean	72	1	countRefactorableNat,a,a_0,a_1	Helper function: number of refactorable numbers $\le m$.
FormalConjectures/OEIS/228828.lean	68	1	a,a_0,a_1,a_2	Numbers $n$ such that $n^2 + \pi(n)$ is prime.
FormalConjectures/OEIS/308734.lean	73	1	A,a_2,a_3,a_4	The predicate that `n` can be written as $(2^a \cdot 3^b)^2 + (2^c \cdot 5^d)^2 + x^2 + y^2$
FormalConjectures/OEIS/303656.lean	77	1	A,a_2,a_3,a_4	The predicate that `n` can be written as $a^2 + b^2 + 3^c + 5^d$ for nonnegative integers.
FormalConjectures/OEIS/113609.lean	73	2	IsOeisPrimePower,a,a_1,a_2	A number $n$ is an "OEIS prime power" (for the context of A113609's definition)
FormalConjectures/OEIS/113019.lean	66	2	a,a_0,a_1,a_2	a n is the (Number of digits of n) raised to the power of (the digital root of n),
FormalConjectures/OEIS/231201.lean	70	1	A,a_2,a_3,a_4	The predicate that `n` can be written as $x + y$ with $x,y >0$ such that
FormalConjectures/OEIS/109905.lean	64	2	a,a_1,a_2,a_3	$a(n)$ is the greatest prime of the form $k(n-k)+1$, where $k$ can take values
FormalConjectures/OEIS/1157.lean	62	1	a,a_1,a_2,a_3	a n is the sum of squares of divisors of $n$.
FormalConjectures/OEIS/102847.lean	61	2	a,a_0,a_1,a_2	The primary defining sequence `a`.
FormalConjectures/OEIS/116150.lean	58	2	a,a_1,a_2,a_3	a n is the sum of $3^j + (-2)^j$ for j from 1 to n.
FormalConjectures/OEIS/109909.lean	61	1	a,a_1,a_2,a_3	$a(n)$ is the number of primes of the form $k(n-k)-1$.
FormalConjectures/OEIS/41.lean	60	2	a,a_0,a_1,a_2	The `n`-th partition number.
FormalConjectures/OEIS/306477.lean	73	1	A,a_1,a_2,a_3	The predicate that `n` can be written as $\binom{w+2}{2} + \binom{x+3}{4} + \binom{y+5}{6} + \binom{z+7}{8}$
FormalConjectures/OEIS/109908.lean	61	1	a,a_1,a_2,a_3	$a(n)$ = greatest prime of the form $k(n-k)-1$, or $0$ if no such prime exists.
FormalConjectures/OEIS/232174.lean	74	1	A,a_2,a_3,a_4	The predicate that `n` can be written as $x + y$ with $x, y > 0$ such that both
FormalConjectures/OEIS/111114.lean	79	1	a,a_2,a_3,a_4	`a n` is the integer part of $\mathrm{prime}(n)/\pi(n)$.
FormalConjectures/OEIS/104320.lean	58	1	a,a_0,a_1,a_2	The primary defining sequence `a`.
FormalConjectures/OEIS/108211.lean	63	1	a,a_1,a_2,a_3	The primary defining sequence `a`.
FormalConjectures/OEIS/280831.lean	76	1	A,a_0,a_1,a_2	The predicate that `n` can be written as $x^2 + y^2 + z^2 + w^2$ with $x, y, z, w$ nonnegative
FormalConjectures/OEIS/113010.lean	58	2	a,a_0,a_1,a_2	a n is the {Number of digits of n} raised to the power of {the sum of the digits of n}.
FormalConjectures/OEIS/109671.lean	75	2	a,a_1,a_2,a_3	The primary defining sequence `a`.
